CN101060508,二道江,通化,吉林,中国,41.777565,126.04599
CN101060601,白城,白城,吉林,中国,45.619026,122.84111
CN101060602,洮南,白城,吉林,中国,45.33911,122.783775
CN101060603,大安,白城,吉林,中国,45.50765,124.29151
CN101060604,镇赉,白城,吉林,中国,45.84609,123.20225
CN101060605,通榆,白城,吉林,中国,44.80915,123.08855
CN101060606,洮北,白城,吉林,中国,45.61925,122.8425
CN101060701,辽源,辽源,吉林,中国,42.90269,125.14535
CN101060702,东丰,辽源,吉林,中国,42.67523,125.529625
CN101060703,东辽,辽源,吉林,中国,42.927723,124.992
CN101060704,龙山,辽源,吉林,中国,42.902702,125.145164
CN101060705,西安,辽源,吉林,中国,42.920414,125.15142
CN101060801,松原,松原,吉林,中国,45.118244,124.82361
CN101060802,乾安,松原,吉林,中国,45.006847,124.02436
CN101060803,前郭,松原,吉林,中国,45.116287,124.826805
CN101060804,长岭,松原,吉林,中国,44.27658,123.98518
CN101060805,扶余,松原,吉林,中国,44.9862,126.042755
CN101060806,宁江,松原,吉林,中国,45.1765,124.82785
CN101060901,白山,白山,吉林,中国,41.942505,126.42784
CN101060902,靖宇,白山,吉林,中国,42.38969,126.80839
CN101060903,临江,白山,吉林,中国,41.810688,126.9193
CN101060904,东岗,白山,吉林,中国,41.994892,126.64931
CN101060905,长白,白山,吉林,中国,41.41936,128.20338
CN101060906,抚松,白山,吉林,中国,42.33264,127.273796
CN101060907,江源,白山,吉林,中国,42.048107,126.58423
CN101060908,浑江,白山,吉林,中国,41.943066,126.42803
CN101070101,沈阳,沈阳,辽宁,中国,41.79677,123.42909
CN101070102,浑南,沈阳,辽宁,中国,41.741947,123.458984
CN101070103,辽中,沈阳,辽宁,中国,41.512726,122.73127
CN101070104,康平,沈阳,辽宁,中国,42.74153,123.3527
CN101070105,法库,沈阳,辽宁,中国,42.507046,123.416725
CN101070106,新民,沈阳,辽宁,中国,41.99651,122.828865
CN101070107,和平,沈阳,辽宁,中国,41.788074,123.40666
CN101070108,沈河,沈阳,辽宁,中国,41.79559,123.445694
CN101070109,大东,沈阳,辽宁,中国,41.808502,123.469955
CN101070110,皇姑,沈阳,辽宁,中国,41.822334,123.40568
CN101070111,铁西,沈阳,辽宁,中国,41.787807,123.35066
CN101070112,苏家屯,沈阳,辽宁,中国,41.665905,123.341606
CN101070113,沈北新区,沈阳,辽宁,中国,42.05231,123.52147
CN101070114,于洪,沈阳,辽宁,中国,41.795834,123.31083
CN101070201,大连,大连,辽宁,中国,38.91459,121.61862
CN101070202,瓦房店,大连,辽宁,中国,39.63065,122.002655
CN101070203,金州,大连,辽宁,中国,39.052746,121.78941
CN101070204,普兰店,大连,辽宁,中国,39.401554,121.9705
CN101070205,旅顺,大连,辽宁,中国,38.812042,121.26713
CN101070206,长海,大连,辽宁,中国,39.2724,122.58782
CN101070207,庄河,大连,辽宁,中国,39.69829,122.97061
CN101070208,中山,大连,辽宁,中国,38.921555,121.64376
CN101070209,西岗,大连,辽宁,中国,38.914265,121.61611
CN101070210,沙河口,大连,辽宁,中国,38.91286,121.593704
CN101070211,甘井子,大连,辽宁,中国,38.975147,121.58261
CN101070301,鞍山,鞍山,辽宁,中国,41.110626,122.99563
CN101070302,台安,鞍山,辽宁,中国,41.38686,122.42973
CN101070303,岫岩,鞍山,辽宁,中国,40.28151,123.28833
CN101070304,海城,鞍山,辽宁,中国,40.85253,122.7522
CN101070305,铁东,鞍山,辽宁,中国,41.110344,122.99448
CN101070306,铁西,鞍山,辽宁,中国,41.11069,122.97183
CN101070307,立山,鞍山,辽宁,中国,41.150623,123.0248
CN101070308,千山,鞍山,辽宁,中国,41.06891,122.949295
CN101070401,抚顺,抚顺,辽宁,中国,41.922646,124.09798
CN101070402,新宾,抚顺,辽宁,中国,41.732456,125.037544
CN101070403,清原,抚顺,辽宁,中国,42.10135,124.92719
CN101070405,新抚,抚顺,辽宁,中国,41.86082,123.902855
CN101070406,东洲,抚顺,辽宁,中国,41.86683,124.04722
CN101070407,望花,抚顺,辽宁,中国,41.851803,123.801506
CN101070408,顺城,抚顺,辽宁,中国,41.88113,123.91717
CN101070501,本溪,本溪,辽宁,中国,41.29791,123.770515
CN101070502,本溪县,本溪,辽宁,中国,41.18,124.17
CN101070503,平山,本溪,辽宁,中国,41.29158,123.76123
CN101070504,桓仁,本溪,辽宁,中国,41.268997,125.35919
CN101070505,溪湖,本溪,辽宁,中国,41.330055,123.76523
CN101070506,明山,本溪,辽宁,中国,41.30243,123.76329
